Ngày,VCB_Lần cuối,PC1,PC2,PC3,Cluster
2020-01-02,69728.0,-14.329042338493108,3.137914536643809,-1.6883187729723308,3
2020-01-03,69037.0,-14.173764934622827,3.284417706539355,-1.8360111190926607,3
2020-01-06,67194.0,-14.372289302682107,3.129525034694363,-1.5642882948424792,3
2020-01-07,67424.0,-14.486586281366405,3.0715507078257067,-1.5447732387715305,3
2020-01-08,66810.0,-14.445101432548515,2.8545991140773355,-1.857575669580368,3
2020-01-09,68115.0,-14.32156451152118,3.01579729006997,-1.893191243160569,3
2020-01-10,68730.0,-13.97034994532524,3.274771842216988,-2.2835282083805266,3
2020-01-13,68653.0,-14.06490603220852,3.2956971143017797,-1.9643545428772868,3
2020-01-14,68653.0,-13.999833695847029,3.3534929789813646,-1.9802319060670484,3
2020-01-15,68576.0,-13.978007427514445,3.286422328713174,-2.1033293425582444,3
2020-01-16,68730.0,-13.628083259364809,3.2668841457877025,-2.554055573200547,3
2020-01-17,72569.0,-13.421801532194419,3.215672631981105,-2.6054429472585268,3
2020-01-20,72185.0,-13.461077082365351,2.9224512785744086,-2.4145390292005473,3
2020-01-21,72185.0,-13.178496139322753,3.1028503914996866,-2.8854430274164433,3
2020-01-22,71724.0,-13.1144520487979,3.2909004744779784,-2.7936221076639023,3
2020-01-30,68269.0,-13.29534692086309,2.77936827754758,-3.3553505188454613,3
2020-01-31,68115.0,-13.524421335249494,2.198536527447016,-3.481483109023595,3
2020-02-03,68115.0,-13.782499659279006,1.230165308335614,-3.9214349810963784,3
2020-02-04,68960.0,-13.678699917586052,1.4836327108004932,-3.2203581867624194,3
2020-02-05,68269.0,-13.460180188055226,1.4556321540489112,-3.2959549396447394,3
2020-02-06,68653.0,-13.2281496920319,1.6038111469992626,-3.4341422822753844,3
2020-02-07,69114.0,-13.28123491462188,2.0095089512263273,-3.0342229887581733,3
2020-02-10,68269.0,-13.760235879494864,1.8603438898689366,-2.6837737614183594,3
2020-02-11,68499.0,-13.599724422538484,1.9052135133468155,-2.9154165160357266,3
2020-02-12,68653.0,-13.333172626891471,1.9344323232610947,-2.822335586453249,3
2020-02-13,68576.0,-13.290980902535432,1.7043563452436143,-2.7739580026808923,3
2020-02-14,68576.0,-13.25682476533988,1.9277415317366635,-2.628564883324259,3
2020-02-17,68653.0,-13.207248709147319,1.7920133860860945,-2.45970866098155,3
2020-02-18,68653.0,-13.067973061457558,1.4916610198741664,-2.6799332066951105,3
2020-02-19,68730.0,-13.057640744383376,1.2681980563530573,-2.494842233751238,3
2020-02-20,68730.0,-13.028247578979776,1.5266895776089815,-2.46433605302836,3
2020-02-21,68346.0,-13.074406455142341,1.5423467513300246,-2.756638512975949,3
2020-02-24,66963.0,-13.573640920434723,1.207550560849472,-2.9592203331245948,3
2020-02-25,66195.0,-13.905921978837515,1.0490597432349904,-2.7369993821105645,3
2020-02-26,65274.0,-13.642865871613687,0.928698245300462,-3.241548997689637,3
2020-02-27,64506.0,-13.632886478148148,0.8190676982546702,-3.2181485603718327,3
2020-02-28,63277.0,-13.802592856086564,0.6577690998287188,-3.434950781343641,3
2020-03-02,62817.0,-13.769070555613988,0.7684402240299776,-3.2212644697109707,3
2020-03-03,63124.0,-13.372327882926495,0.8786233531370571,-3.184408354094974,3
2020-03-04,62740.0,-13.526344090134968,0.8928753296133787,-3.276541173147358,3
2020-03-05,63815.0,-13.383594284387643,1.0425366306686248,-3.2928774523503517,3
2020-03-06,64890.0,-13.639461408228643,0.8852642162763312,-2.8129592957604665,3
2020-03-09,60359.0,-14.001065631571652,-0.07853124730369852,-3.799025877965469,3
2020-03-10,61357.0,-14.552695777092895,-0.5458989859504205,-3.3080251251517163,3
2020-03-11,59130.0,-14.640871743702862,-0.39619369015789097,-3.742913527254251,3
2020-03-12,55060.0,-15.752162004478413,-0.9596874097246312,-4.04598796092379,3
2020-03-13,54523.0,-16.14636008470885,-1.8394917647788056,-4.23912095950695,3
2020-03-16,51528.0,-16.662553336690934,-1.6518385488617846,-3.6494176297000784,3
2020-03-17,51835.0,-16.87808565546292,-2.018900511870475,-3.668284724325587,3
2020-03-18,53217.0,-16.516647433361104,-2.040857327465387,-3.3432830387146932,3
2020-03-19,50683.0,-16.75149415096062,-2.520775829573273,-3.4139569311290305,3
2020-03-20,47228.0,-16.708623270236536,-2.5793564848676924,-3.4477316305835983,3
2020-03-23,43925.0,-17.39786517476322,-3.459982967979463,-3.427448228110635,3
2020-03-24,44540.0,-17.51893735027831,-4.15180278585666,-3.163279447221796,3
2020-03-25,47612.0,-17.104189477969374,-3.829302988813479,-3.151437095582553,3
2020-03-26,48533.0,-17.2286746034242,-3.513184186443074,-3.307912389392613,3
2020-03-27,49224.0,-17.565699814839423,-3.274130942203938,-3.446141230466037,3
2020-03-30,46844.0,-18.322473329774184,-3.682138098923536,-3.238390434140603,3
2020-03-31,47612.0,-18.478371118476108,-3.7459608644051876,-2.9707842054046076,3
2020-04-01,49915.0,-18.528851669045366,-3.8453214777909306,-2.8381502066300532,3
2020-04-03,50299.0,-17.840663796640726,-3.4221115828108184,-3.1694805974910634,3
2020-04-06,52219.0,-17.048970331144915,-2.72265919443817,-3.5063692733861727,3
2020-04-07,52373.0,-16.647218530425302,-2.460607282578886,-3.624811506542646,3
2020-04-08,51835.0,-17.03050957582442,-2.108412531411639,-3.2300016815329164,3
2020-04-09,54523.0,-16.627417306347663,-1.6731269439048286,-3.376840440307339,3
2020-04-10,54216.0,-16.89759263121189,-1.5132198536991757,-2.9349361387941912,3
2020-04-13,54369.0,-16.737694916861773,-1.2570908307562547,-2.8265421091654352,3
2020-04-14,53678.0,-16.68821755435763,-0.9411318332669893,-3.2169579823278456,3
2020-04-15,54446.0,-16.458713343827437,-0.887616250274001,-2.9865217068005356,3
2020-04-16,54676.0,-16.45995373349159,-0.8148886305878668,-2.8162600746099358,3
2020-04-17,54830.0,-16.036836390773885,-0.6595062431226935,-3.1700635160905084,3
2020-04-20,55214.0,-16.099427259004973,-0.4513384101063022,-2.9424509824083147,3
2020-04-21,54907.0,-16.549810190362884,-0.9149345543275834,-3.528316592050498,3
2020-04-22,53217.0,-16.867034667622782,-1.4532458803070616,-3.2028004065651037,3
2020-04-23,53141.0,-16.579648160504703,-0.9589670030598638,-2.92332517612776,3
2020-04-24,52910.0,-16.743943665225796,-0.9401729472799606,-2.913836844162441,3
2020-04-27,51298.0,-16.742125023471203,-0.8535821637406107,-3.0818608407549912,3
2020-04-28,51451.0,-16.807369326489063,-1.1560915509378322,-2.964855344761934,3
2020-04-29,52219.0,-16.589330108304903,-1.4093884947052273,-3.0051092307219016,3
2020-05-04,51758.0,-16.690595511777868,-1.5971172515218617,-2.6367974684461633,3
2020-05-05,51298.0,-16.76646925564591,-1.4641166481493026,-2.5824354761431976,3
2020-05-06,51912.0,-16.439820094969814,-1.176460452299484,-3.038254469751152,3
